"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Позитивный тест: получение списка сотрудников","22","Получение списка всех сотрудников","","2026-07-08","passed","2026-07-08","TestEmployees","test_employees","",""
"Негативный тест: несуществующий ID","9","Получение несуществующего сотрудника","","2026-07-08","passed","2026-07-08","TestEmployees","test_employees","",""
"Позитивный тест: полное обновление сотрудника через PUT","22","Полное обновление сотрудника (PUT)","","2026-07-08","passed","2026-07-08","TestEmployees","test_employees","",""
"
Позитивный тест: PATCH с salary.
Поле name обязательно даже в PATCH-запросе.
","22","Частичное обновление только salary (PATCH)","","2026-07-08","passed","2026-07-08","TestEmployees","test_employees","",""
"Негативный тест: удаление несуществующего ID","11","Удаление несуществующего сотрудника","","2026-07-08","passed","2026-07-08","TestEmployees","test_employees","",""
"Негативный тест: salary = 0 (должно быть > 0)","8","Создание сотрудника с salary = 0","","2026-07-08","passed","2026-07-08","TestEmployees","test_employees","",""
"Позитивный тест: получение сотрудника по ID","34","Получение существующего сотрудника по ID","","2026-07-08","passed","2026-07-08","TestEmployees","test_employees","",""
"Позитивный тест: создание сотрудника","345","Создание сотрудника с валидными данными","","2026-07-08","passed","2026-07-08","TestEmployees","test_employees","",""
"Негативный тест: отсутствует поле name","17","Создание сотрудника без обязательного поля (name)","","2026-07-08","passed","2026-07-08","TestEmployees","test_employees","",""
"Позитивный тест: удаление сотрудника","32","Удаление существующего сотрудника","","2026-07-08","passed","2026-07-08","TestEmployees","test_employees","",""
